OTU ID	C1.01A	C1.02A	C1.03A	C1.04A	C1.05A	C1.06A	C1.07A	C1.08A	C1.09A	C1.10A	C1.11A	C1.12A	C1.13A	C1.14A	C1.15A	C1.16A	C1.17A	C1.19A	C1.20A	C1.21A	C1.22A	C1.23A	C1.24A	C1.25A	C1.26A	C1.27A	C2.01A	C2.02A	C2.03A	C2.04A	C2.05A	C2.06A	C2.07A	C2.09A	C2.10A	C2.11A	C2.12A	C2.13A	C2.14A	C2.15A	C2.16A	C2.17A	C2.18A	C2.19A	C2.20A	C2.21A	C2.22A	C2.24A	C2.25A	C2.26A	C2.27A	C3.01A	C3.02A	C3.03A	C3.04A	C3.05A	C3.06A	C3.07A	C3.12A	C3.23A	C3.24A	T1.01A	T1.02A	T1.03A	T1.04A	T1.05A	T1.06A	T1.07A	T1.08A	T1.09A	T1.10A	T1.11A	T1.12A	T1.13A	T1.14A	T1.15A	T1.17A	T1.18A	T1.19A	T1.20A	T1.21A	T1.22A	T1.23A	T1.24A	T1.26A	T1.27A	T1.29A	T1.30A	T2.01A	T2.02A	T2.03A	T2.04A	T2.05A	T2.06A	T2.07A	T2.08A	T2.09A	T2.10A	T2.11A	T2.12A	T2.13A	T2.14A	T2.15A	T2.17A	T2.18A	T2.19A	T2.20A	T2.21A	T2.22A	T2.23A	T2.24A	T2.26A	T2.27A	T2.29A	T2.30A	T3.01A	T3.02A	T3.03A	T3.04A	T3.05A	T3.06A	T3.07A	T3.08A	T3.09A	T3.10A	T3.11A	T3.13A	T3.14A	T3.15A	T3.18A	T3.19A	T3.22A	T3.29A
5d8284f5d0fe52824d7c773341c82b43	3432.0	372.0	2685.0	202.0	2042.0	852.0	0.0	43.0	664.0	344.0	3073.0	909.0	1909.0	1474.0	1522.0	57.0	1031.0	1452.0	1377.0	1135.0	76.0	88.0	1896.0	1040.0	4698.0	135.0	68.0	2982.0	1743.0	353.0	197.0	1874.0	2358.0	81.0	178.0	3185.0	94.0	0.0	1907.0	2058.0	920.0	4004.0	196.0	1849.0	74.0	50.0	3.0	116.0	511.0	874.0	218.0	14.0	1572.0	432.0	43.0	172.0	1334.0	11.0	805.0	220.0	31.0	98.0	2910.0	1050.0	4338.0	1037.0	1835.0	1717.0	416.0	2846.0	691.0	5044.0	1934.0	2869.0	3996.0	735.0	80.0	25.0	1732.0	2262.0	431.0	0.0	645.0	450.0	0.0	625.0	1462.0	714.0	1161.0	260.0	67.0	3781.0	43.0	539.0	3510.0	1037.0	798.0	1154.0	5432.0	1654.0	1739.0	5176.0	470.0	0.0	0.0	334.0	968.0	24.0	1971.0	1756.0	174.0	722.0	26.0	597.0	9624.0	1355.0	61.0	969.0	966.0	715.0	866.0	2434.0	585.0	3487.0	0.0	4249.0	1762.0	5196.0	720.0	0.0	76.0	0.0	0.0
d8999f85296a9d9f0eb3a48834df9d46	0.0	11.0	0.0	841.0	0.0	187.0	0.0	49.0	4593.0	486.0	4635.0	0.0	0.0	24.0	1335.0	209.0	0.0	116.0	207.0	0.0	243.0	12197.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	1859.0	38.0	133.0	252.0	7728.0	0.0	1132.0	11.0	0.0	183.0	687.0	3277.0	0.0	0.0	27.0	666.0	103.0	0.0	9322.0	0.0	0.0	0.0	0.0	51.0	0.0	4275.0	152.0	0.0	0.0	0.0	12.0	4834.0	0.0	348.0	0.0	619.0	0.0	0.0	0.0	14658.0	232.0	11.0	1670.0	58.0	0.0	163.0	13582.0	578.0	149.0	2675.0	515.0	98.0	479.0	5978.0	3480.0	84.0	9.0	0.0	0.0	0.0	2805.0	6029.0	814.0	3563.0	0.0	0.0	55.0	0.0	0.0	91.0	68.0	0.0	323.0	51.0	10476.0	813.0	6438.0	256.0	1316.0	250.0	256.0	3594.0	0.0	1862.0	0.0	0.0	0.0	2225.0	0.0	58.0	0.0	0.0	0.0	6066.0	366.0	597.0	440.0	0.0	258.0	369.0	244.0	5435.0	2783.0	4207.0
edbb21919c526124a3b989fa9347e93e	0.0	2793.0	542.0	134.0	0.0	0.0	0.0	2908.0	0.0	0.0	0.0	1231.0	0.0	0.0	0.0	3318.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	168.0	0.0	734.0	0.0	464.0	2357.0	1553.0	0.0	32.0	17.0	0.0	0.0	0.0	2431.0	0.0	0.0	0.0	2692.0	0.0	182.0	0.0	0.0	0.0	0.0	0.0	4048.0	0.0	21609.0	0.0	765.0	2436.0	4593.0	0.0	88.0	133.0	1965.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	5291.0	0.0	0.0	15630.0	127.0	1803.0	0.0	0.0	93.0	0.0	355.0	109.0	0.0	0.0	713.0	0.0	0.0	769.0	1259.0	3929.0	764.0	0.0	0.0	113.0	0.0	0.0	0.0	156.0	0.0	0.0	3623.0	0.0	1517.0	0.0	0.0	313.0	0.0	1891.0	7662.0	0.0	41.0	0.0	0.0	0.0	3983.0	5648.0	7113.0	1716.0	0.0	0.0	0.0	0.0	0.0	0.0	2093.0	0.0	0.0	26643.0	27.0	0.0	0.0	206.0	809.0	10673.0	0.0	4858.0
d7b8a25da82bccc48f91f25966c10940	1609.0	582.0	867.0	230.0	264.0	645.0	0.0	0.0	1298.0	214.0	1250.0	3037.0	586.0	1358.0	2085.0	43.0	465.0	7258.0	274.0	365.0	96.0	914.0	857.0	720.0	1387.0	68.0	197.0	3864.0	2208.0	348.0	62.0	1009.0	0.0	1072.0	140.0	932.0	107.0	1015.0	805.0	2009.0	3833.0	634.0	145.0	6150.0	177.0	108.0	89.0	405.0	10079.0	532.0	72.0	60.0	1464.0	1073.0	1278.0	95.0	1351.0	0.0	2693.0	123.0	116.0	414.0	2944.0	703.0	1083.0	1212.0	1154.0	1882.0	229.0	618.0	4164.0	2405.0	1782.0	2182.0	1332.0	781.0	975.0	66.0	1040.0	669.0	773.0	168.0	1366.0	6415.0	15.0	3489.0	179.0	554.0	229.0	545.0	1420.0	954.0	1406.0	103.0	1268.0	500.0	304.0	894.0	1585.0	1250.0	1877.0	1927.0	1356.0	0.0	0.0	1004.0	144.0	56.0	3325.0	785.0	1740.0	161.0	113.0	198.0	150.0	566.0	146.0	966.0	245.0	777.0	487.0	2398.0	256.0	666.0	11.0	1316.0	1499.0	1646.0	1362.0	0.0	0.0	34.0	42.0
dcea7192b071c939337560d2acd0f0fc	0.0	0.0	1047.0	278.0	965.0	1215.0	0.0	37.0	575.0	193.0	1918.0	0.0	629.0	938.0	590.0	0.0	531.0	1531.0	1286.0	417.0	130.0	626.0	387.0	292.0	252.0	0.0	106.0	0.0	750.0	0.0	195.0	704.0	0.0	177.0	612.0	2739.0	0.0	0.0	410.0	1025.0	491.0	764.0	100.0	2263.0	75.0	103.0	8.0	103.0	0.0	837.0	142.0	32.0	816.0	1973.0	37.0	164.0	0.0	0.0	1734.0	431.0	46.0	218.0	1614.0	1615.0	1042.0	1105.0	6262.0	1303.0	1378.0	2952.0	1498.0	1244.0	1082.0	1930.0	4160.0	508.0	254.0	33.0	848.0	1359.0	402.0	0.0	719.0	3684.0	0.0	1623.0	0.0	605.0	0.0	334.0	2582.0	754.0	2760.0	319.0	3132.0	1059.0	1087.0	1487.0	7267.0	839.0	2434.0	5087.0	3488.0	0.0	0.0	432.0	336.0	83.0	0.0	3404.0	126.0	211.0	29.0	78.0	1275.0	371.0	51.0	1308.0	349.0	466.0	2013.0	2028.0	1713.0	2226.0	0.0	2883.0	1115.0	3042.0	2288.0	14.0	0.0	0.0	0.0
408aeb908e6fb1b17f128b66f269f91b	5949.0	1045.0	2447.0	779.0	822.0	5184.0	0.0	57.0	485.0	2357.0	246.0	573.0	449.0	336.0	98.0	1328.0	767.0	642.0	64.0	165.0	0.0	56.0	42.0	0.0	7.0	29.0	70.0	2305.0	4766.0	2051.0	4841.0	3051.0	0.0	370.0	855.0	328.0	922.0	0.0	112.0	259.0	645.0	268.0	312.0	206.0	3597.0	260.0	275.0	0.0	0.0	0.0	1078.0	43.0	118.0	355.0	130.0	689.0	813.0	484.0	0.0	262.0	0.0	7303.0	7636.0	736.0	533.0	771.0	379.0	4967.0	2861.0	243.0	645.0	122.0	413.0	897.0	529.0	713.0	255.0	3708.0	111.0	46.0	17.0	723.0	0.0	147.0	1006.0	47.0	550.0	544.0	5688.0	18.0	0.0	350.0	0.0	3339.0	26.0	820.0	1084.0	1303.0	0.0	521.0	1136.0	907.0	2741.0	397.0	127.0	115.0	0.0	188.0	0.0	0.0	577.0	674.0	131.0	59.0	69.0	197.0	29.0	283.0	1491.0	505.0	537.0	386.0	414.0	101.0	118.0	18.0	90.0	326.0	566.0	230.0	7.0	0.0	86.0
16e30e0be625f6adfcc7626984d8fa70	0.0	0.0	0.0	0.0	9726.0	0.0	0.0	0.0	0.0	14485.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3376.0	1711.0	0.0	6087.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	580.0	937.0	0.0	0.0	8599.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1844.0	0.0	0.0	803.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	468.0	2983.0	0.0	0.0	0.0	75.0	0.0	0.0	3544.0	0.0	2237.0	16466.0	0.0	0.0	1353.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	119.0	2015.0	0.0	0.0	0.0	0.0	0.0	1263.0	146.0	0.0	0.0	0.0	0.0	15.0	362.0	0.0	0.0	2205.0	0.0	0.0	0.0	0.0	0.0	1653.0	15.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1803.0	0.0	1236.0	7251.0	0.0	0.0	2293.0	0.0	0.0	0.0	0.0	2118.0	0.0	0.0	0.0	0.0
21966b389f6d60a69972e49025f67a12	0.0	580.0	0.0	0.0	712.0	0.0	0.0	8.0	2563.0	311.0	79.0	219.0	2151.0	1007.0	248.0	69.0	1329.0	94.0	22.0	730.0	1056.0	687.0	784.0	96.0	15.0	0.0	0.0	1546.0	0.0	0.0	971.0	0.0	0.0	960.0	4.0	33.0	2.0	1881.0	863.0	720.0	443.0	863.0	672.0	134.0	15085.0	339.0	1012.0	683.0	0.0	0.0	0.0	0.0	317.0	0.0	0.0	572.0	0.0	477.0	0.0	112.0	340.0	8352.0	2527.0	1633.0	61.0	301.0	325.0	0.0	0.0	3317.0	7.0	493.0	855.0	2430.0	240.0	636.0	0.0	3389.0	2764.0	0.0	0.0	0.0	10.0	0.0	28.0	516.0	0.0	274.0	7634.0	0.0	6.0	43.0	4.0	148.0	0.0	0.0	174.0	0.0	241.0	867.0	2255.0	783.0	3476.0	0.0	20.0	5032.0	0.0	5.0	0.0	22.0	0.0	67.0	507.0	3.0	78.0	908.0	10.0	846.0	0.0	200.0	111.0	0.0	4.0	1591.0	0.0	146.0	1180.0	356.0	1664.0	143.0	0.0	0.0	0.0
7f8f6c15c1763ba1d05855881bdab3e4	0.0	0.0	0.0	887.0	0.0	133.0	0.0	95.0	161.0	3.0	936.0	2502.0	266.0	195.0	33.0	1175.0	74.0	125.0	0.0	3321.0	9167.0	18.0	47.0	366.0	6.0	0.0	0.0	383.0	0.0	105.0	482.0	226.0	0.0	247.0	28.0	693.0	4933.0	0.0	481.0	100.0	1252.0	165.0	2773.0	44.0	0.0	17203.0	257.0	0.0	176.0	0.0	55.0	0.0	22.0	0.0	36.0	356.0	378.0	1172.0	0.0	0.0	0.0	1895.0	1920.0	185.0	0.0	0.0	0.0	1111.0	93.0	644.0	0.0	444.0	25.0	409.0	19.0	431.0	0.0	2394.0	182.0	226.0	0.0	1966.0	0.0	91.0	27.0	207.0	0.0	3898.0	1080.0	0.0	149.0	0.0	23.0	35.0	13.0	67.0	104.0	0.0	560.0	23.0	383.0	98.0	2711.0	0.0	208.0	313.0	32.0	48.0	101.0	8.0	14.0	62.0	261.0	0.0	3889.0	220.0	5.0	208.0	204.0	0.0	0.0	364.0	65.0	437.0	0.0	300.0	271.0	46.0	1533.0	202.0	0.0	281.0	0.0
bb2822baf849990005cecbf24c740101	0.0	1846.0	10309.0	1936.0	204.0	668.0	0.0	59.0	466.0	1754.0	242.0	531.0	630.0	1108.0	70.0	152.0	1923.0	164.0	92.0	85.0	0.0	63.0	348.0	385.0	89.0	0.0	0.0	1143.0	4764.0	4448.0	910.0	951.0	0.0	175.0	1409.0	186.0	1280.0	3468.0	545.0	333.0	820.0	1368.0	109.0	91.0	4830.0	0.0	552.0	204.0	377.0	0.0	0.0	30.0	23.0	204.0	125.0	275.0	720.0	322.0	0.0	90.0	73.0	420.0	458.0	514.0	0.0	579.0	198.0	2384.0	1003.0	860.0	0.0	0.0	147.0	79.0	310.0	1041.0	0.0	0.0	19.0	343.0	18.0	3351.0	92.0	989.0	0.0	284.0	0.0	136.0	1737.0	8.0	254.0	0.0	24.0	2696.0	15.0	665.0	2816.0	294.0	28.0	124.0	187.0	90.0	0.0	0.0	16.0	42.0	124.0	58.0	254.0	33.0	319.0	0.0	333.0	831.0	104.0	63.0	11.0	140.0	139.0	337.0	521.0	391.0	274.0	499.0	0.0	16.0	0.0	56.0	0.0	52.0	0.0	104.0	0.0
